year,state,state_code,region,crime_category,cases_reported,cases_solved,solve_rate,financial_loss_lakhs,population
2018,Andhra Pradesh,AP,South,Online Financial Fraud,982,281,28.7,39606.93,53903393
2018,Andhra Pradesh,AP,South,Social Media Crimes,1671,350,21.0,8998.71,53903393
2018,Andhra Pradesh,AP,South,Phishing/Vishing,1723,564,32.8,1621.82,53903393
2018,Andhra Pradesh,AP,South,Ransomware Attacks,1062,352,33.2,13459.35,53903393
2018,Andhra Pradesh,AP,South,Identity Theft,419,71,17.0,3986.54,53903393
2018,Andhra Pradesh,AP,South,Cyber Stalking/Bullying,915,402,44.0,7484.49,53903393
2018,Andhra Pradesh,AP,South,Data Breach,741,178,24.1,1058.06,53903393
2018,Andhra Pradesh,AP,South,Hacking,80,28,35.5,374.52,53903393
2018,Andhra Pradesh,AP,South,Online Child Exploitation,248,46,18.7,1290.64,53903393
2018,Andhra Pradesh,AP,South,Cryptocurrency Fraud,780,125,16.0,35817.15,53903393
2019,Andhra Pradesh,AP,South,Online Financial Fraud,243,41,17.2,5134.82,53903393
2019,Andhra Pradesh,AP,South,Social Media Crimes,1679,310,18.5,14606.43,53903393
2019,Andhra Pradesh,AP,South,Phishing/Vishing,939,316,33.7,3421.28,53903393
2019,Andhra Pradesh,AP,South,Ransomware Attacks,1474,249,16.9,27997.46,53903393
2019,Andhra Pradesh,AP,South,Identity Theft,322,79,24.8,2392.87,53903393
2019,Andhra Pradesh,AP,South,Cyber Stalking/Bullying,164,55,34.1,1464.28,53903393
2019,Andhra Pradesh,AP,South,Data Breach,221,64,29.2,361.59,53903393
2019,Andhra Pradesh,AP,South,Hacking,367,133,36.4,2835.98,53903393
2019,Andhra Pradesh,AP,South,Online Child Exploitation,1213,386,31.8,9490.74,53903393
2019,Andhra Pradesh,AP,South,Cryptocurrency Fraud,1480,441,29.8,42214.01,53903393
2020,Andhra Pradesh,AP,South,Online Financial Fraud,1015,249,24.5,10101.62,53903393
2020,Andhra Pradesh,AP,South,Social Media Crimes,746,162,21.8,3399.91,53903393
2020,Andhra Pradesh,AP,South,Phishing/Vishing,797,315,39.5,6915.52,53903393
2020,Andhra Pradesh,AP,South,Ransomware Attacks,1237,188,15.2,34615.75,53903393
2020,Andhra Pradesh,AP,South,Identity Theft,470,129,27.5,1226.71,53903393
2020,Andhra Pradesh,AP,South,Cyber Stalking/Bullying,626,116,18.6,2320.8,53903393
2020,Andhra Pradesh,AP,South,Data Breach,1795,777,43.3,6408.92,53903393
2020,Andhra Pradesh,AP,South,Hacking,1212,370,30.6,8700.56,53903393
2020,Andhra Pradesh,AP,South,Online Child Exploitation,1023,265,25.9,9955.76,53903393
2020,Andhra Pradesh,AP,South,Cryptocurrency Fraud,1855,813,43.9,30292.53,53903393
2021,Andhra Pradesh,AP,South,Online Financial Fraud,606,188,31.1,5492.2,53903393
2021,Andhra Pradesh,AP,South,Social Media Crimes,659,263,40.1,2337.74,53903393
2021,Andhra Pradesh,AP,South,Phishing/Vishing,916,188,20.6,812.83,53903393
2021,Andhra Pradesh,AP,South,Ransomware Attacks,1609,526,32.7,57104.05,53903393
2021,Andhra Pradesh,AP,South,Identity Theft,990,153,15.5,5311.24,53903393
2021,Andhra Pradesh,AP,South,Cyber Stalking/Bullying,1135,247,21.8,7524.08,53903393
2021,Andhra Pradesh,AP,South,Data Breach,2759,558,20.2,19489.32,53903393
2021,Andhra Pradesh,AP,South,Hacking,557,148,26.6,5235.21,53903393
2021,Andhra Pradesh,AP,South,Online Child Exploitation,799,152,19.1,2988.36,53903393
2021,Andhra Pradesh,AP,South,Cryptocurrency Fraud,4012,738,18.4,187004.19,53903393
2022,Andhra Pradesh,AP,South,Online Financial Fraud,2900,962,33.2,15700.22,53903393
2022,Andhra Pradesh,AP,South,Social Media Crimes,519,93,18.0,3530.9,53903393
2022,Andhra Pradesh,AP,South,Phishing/Vishing,327,49,15.2,663.05,53903393
2022,Andhra Pradesh,AP,South,Ransomware Attacks,1882,592,31.5,68006.6,53903393
2022,Andhra Pradesh,AP,South,Identity Theft,1989,687,34.6,5232.18,53903393
2022,Andhra Pradesh,AP,South,Cyber Stalking/Bullying,2842,1033,36.4,7826.49,53903393
